data;preco_br;;;;
04/07/2000;17,71;;;;
05/07/2000;17,76;;;;
06/07/2000;17,63;;;;
07/07/2000;17,81;;;;
10/07/2000;17,47;;;;
11/07/2000;17,64;;;;
12/07/2000;17,8;;;;
13/07/2000;17,75;;;;
14/07/2000;17,63;;;;
17/07/2000;17,5;;;;
18/07/2000;17,54;;;;
19/07/2000;17,52;;;;
20/07/2000;17,6;;;;
21/07/2000;17,55;;;;
24/07/2000;17,59;;;;
25/07/2000;17,43;;;;
26/07/2000;17,53;;;;
27/07/2000;17,64;;;;
28/07/2000;17,59;;;;
31/07/2000;17,5;;;;
01/08/2000;17,56;;;;
02/08/2000;17,68;;;;
03/08/2000;17,6;;;;
04/08/2000;17,56;;;;
07/08/2000;17,46;;;;
08/08/2000;17,52;;;;
09/08/2000;17,55;;;;
10/08/2000;17,54;;;;
11/08/2000;17,6;;;;
14/08/2000;17,64;;;;
15/08/2000;17,73;;;;
16/08/2000;17,88;;;;
17/08/2000;17,89;;;;
18/08/2000;17,87;;;;
21/08/2000;17,91;;;;
22/08/2000;17,94;;;;
23/08/2000;17,92;;;;
24/08/2000;18,03;;;;
25/08/2000;18,08;;;;
28/08/2000;18,26;;;;
29/08/2000;18,61;;;;
30/08/2000;18,62;;;;
31/08/2000;18,79;;;;
01/09/2000;18,83;;;;
04/09/2000;18,75;;;;
05/09/2000;19,19;;;;
06/09/2000;19,02;;;;
08/09/2000;18,96;;;;
11/09/2000;18,93;;;;
12/09/2000;18,96;;;;
13/09/2000;19;;;;
14/09/2000;18,91;;;;
15/09/2000;18,87;;;;
18/09/2000;19,01;;;;
19/09/2000;18,85;;;;
20/09/2000;19,07;;;;
21/09/2000;19,1;;;;
22/09/2000;19,31;;;;
25/09/2000;19,13;;;;
26/09/2000;19,22;;;;
27/09/2000;19,27;;;;
28/09/2000;19,34;;;;
29/09/2000;19,1;;;;
02/10/2000;19,17;;;;
03/10/2000;19,12;;;;
04/10/2000;19,14;;;;
05/10/2000;19,13;;;;
06/10/2000;19,15;;;;
